has_title,has_input,has_button,has_image,has_submit,has_link,has_password,has_email_input,has_hidden_element,has_audio,has_video,number_of_inputs,number_of_buttons,number_of_images,number_of_option,number_of_list,number_of_th,number_of_tr,number_of_href,number_of_paragraph,number_of_script,length_of_title,has_h1,has_h2,has_h3,length_of_text,number_of_clickable_button,number_of_a,number_of_img,number_of_div,number_of_figure,has_footer,has_form,has_text_area,has_iframe,has_text_input,number_of_meta,has_nav,has_object,has_picture,number_of_sources,number_of_span,number_of_table,URL,label
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,26,0,0,0,103,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,https://steanncomunit.ru,1
1,1,1,0,0,1,1,1,1,0,0,3,1,0,0,8,0,0,4,4,8,10,0,1,1,424,0,11,12,39,0,0,1,0,1,0,5,1,0,0,0,17,0,https://vvetransfer-file-preview.glitch.me/,1
1,1,1,0,0,1,1,1,1,0,0,4,1,0,0,0,0,0,1,1,3,20,0,0,0,243,0,0,2,8,0,0,0,0,1,0,3,0,0,0,0,3,0,https://ipfs.io/ipfs/QmX6geB77FoxwVveQGZKQk9HyKDj3Ks2y7LczBcDvrFK9G?filename=xi%20uo%20ap%20wu%20sy%20ak.html,1
1,1,1,0,0,1,1,1,1,0,0,5,1,0,0,0,0,0,1,1,3,21,0,0,0,284,0,0,2,8,0,0,1,0,0,0,6,0,0,0,0,3,0,https://bafybeihnen57w7lrop5e2gxcgwt35hrrmfk3y2ggzrrhtsxtwymicbbgy4.ipfs.dweb.link/,1
1,1,1,0,0,1,1,1,1,0,0,5,1,0,0,0,0,0,1,1,3,21,0,0,0,284,0,0,2,8,0,0,1,0,0,0,6,0,0,0,0,3,0,https://bafybeidpbczwdnqdiz7377qcsxnmhqzymcc5f7e6yibqlyassl5uzsuinm.ipfs.dweb.link/index.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://bafybeiafkg5ai4xitvaesxbzzb6leidp3e24h6y2m4hakca3snkxdwkn7e.ipfs.dweb.link/manyexcelecrpty.html,1
1,1,1,0,0,1,1,0,0,0,0,3,1,0,0,0,0,0,20,2,0,28,1,1,0,701,0,12,3,27,0,1,1,0,0,1,9,0,0,0,0,18,0,https://www.hhdiamond.com/io-en/ZmQ0NDU2NDIzMTU2NDU2NDU2NGQ1NnM0ZDU2czRkNTZzNWRzZGZkZHNkczRkNTZzNGQ1NnM1NjRmZDU2NA==/online/mail/Sign-In.php,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://ipfs.io/ipfs/QmdrAV8p9jrHBcMjUQVg6QKLyrhqeHfJArAfMDErFApFLV,1
1,1,1,0,0,1,1,0,1,0,0,4,3,0,39,9,0,0,3,0,4,13,1,0,0,1005,0,12,2,35,0,0,1,0,0,1,4,0,0,0,0,1,0,https://bafybeifdmmjb2telhiidfxk2ekl4gbr34orbtx3afsberiurd37lwwq2vy.ipfs.dweb.link/?filename=Webmail.htm,1
1,1,0,0,1,1,1,0,1,0,0,9,0,0,0,0,0,2,2,3,10,29,0,0,0,300,0,0,1,4,0,0,1,0,0,1,3,0,0,0,0,0,1,https://sinetica.cl/includes/kijun/home/access/matsuken/service/?cw,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,13,1,1,0,4608,0,77,73,77,0,1,0,0,0,0,2,0,0,0,0,0,0,https://bafybeiduschaqs6m3jl4qp2yi3dhrrrt5te7b5gjo4aj5ew7fxa7kkjr2y.ipfs.dweb.link/,1
1,1,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,0,0,11,2,38,0,0,0,326,0,0,2,18,0,1,1,0,0,0,1,0,0,0,0,3,0,http://tarry-carpal-droplet.glitch.me/,1
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,5,0,0,1,461,0,0,1,13,0,0,1,1,0,0,2,0,0,0,0,1,0,https://fluff-ember-howler.glitch.me/oluydred.html,1
1,1,1,0,1,1,0,1,1,0,0,27,2,0,182,133,0,0,12,21,19,34,1,1,1,6939,0,163,21,112,0,1,1,1,0,1,4,1,0,0,0,20,0,https://smsusps.dynnamn.ru/,1
1,1,1,0,1,1,0,1,1,0,0,27,2,0,182,133,0,0,12,22,19,34,1,1,1,6941,0,163,21,112,0,1,1,1,0,1,4,1,0,0,0,20,0,https://m.package.information.wps3w.live/,1
1,1,1,0,0,1,0,0,0,0,0,4,20,0,0,189,0,0,9,351,8,89,1,1,0,54006,9,279,91,763,86,1,1,0,0,0,23,1,0,1,6,403,0,http://mfowetptpe.temp.swtest.ru/caregion/AG/Pr,1
1,1,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,2,6,7,0,0,0,141,0,1,1,8,0,0,1,0,0,0,3,0,0,0,0,2,0,https://ipfs.io/ipfs/bafkreibx5xtcoxfe27nesdpstgasg3kcn3v3h2gqdbf7bfjvh4jy4wq6pi/,1
1,1,1,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,2,6,7,0,0,0,141,0,1,1,8,0,0,1,0,0,0,3,0,0,0,0,2,0,https://ipfs.io/ipfs/bafkreiamcqroqsd5ebduskekvhewvv7rjbqow2ncnqwerhc3uyqwhgwp4y/,1
1,1,1,0,0,1,1,1,1,0,0,5,2,0,0,0,0,0,1,3,3,17,0,0,0,543,0,2,3,13,0,0,0,0,0,0,2,0,0,0,0,5,0,https://bafybeihng5vgg3pvynepjlcgej6swk3crfc4lomv4m4h2kdps7xyuskc7e.ipfs.dweb.link/sog_share.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://bafybeigv3hocxjqwop2a7hv4a2zoiesjjqdags5j4xctlu2t5rqngzwgja.ipfs.dweb.link/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://bafkreihvdnc4egmu4ijltg76chicprz7p7olk4sjo476gddh66cjfmyrg4.ipfs.dweb.link/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://data-axle-dot-inlaid-micron-380216.uk.r.appspot.com,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,3,3,9,51,0,0,0,409,0,4,2,12,0,1,1,0,0,0,2,0,0,0,0,21,0,https://ipfs.io/ipfs/QmY1yDNzVAp81szAMZWJztWcwcNtLsVQGvAqydAQGze8KA,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,3,3,9,51,0,0,0,409,0,4,2,12,0,1,1,0,0,0,2,0,0,0,0,21,0,https://ipfs.io/ipfs/QmUnhdejXSUuUSQiSepYjHcoJvPorYBfJjBEPt86h973sV,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,3,3,9,51,0,0,0,409,0,4,2,12,0,1,1,0,0,0,2,0,0,0,0,21,0,https://ipfs.io/ipfs/QmRdaCXkBurAUBaebBgJTqnKfCTbk5Lp5tw1EYsGxtQF7F,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,3,3,9,51,0,0,0,409,0,4,2,12,0,1,1,0,0,0,2,0,0,0,0,21,0,https://ipfs.io/ipfs/Qmf43oLoNdbNwgxJxDmjX1SqoM9FSA3PMr2mKi2RATFT5u,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,3,3,9,51,0,0,0,409,0,4,2,12,0,1,1,0,0,0,2,0,0,0,0,21,0,https://ipfs.io/ipfs/QmaXDqB1bkyqWfzBqkBwH1QJop24oo5muxB2NbLTmmZnSJ,1
1,1,1,0,0,1,1,1,0,0,0,2,1,0,0,3,0,0,1,3,4,23,0,1,0,282,0,4,3,17,0,1,1,0,0,0,6,0,0,0,0,4,0,https://peat-curvy-asiago.glitch.me/,1
1,1,1,0,0,1,1,1,0,0,0,2,1,0,0,3,0,0,1,3,5,23,0,1,0,349,0,4,3,17,0,1,1,0,0,0,7,0,0,0,0,4,0,https://brook-intermediate-newt.glitch.me/AlRajhi_Partners.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://bafybeifyep5chhzaiglye5ebojjgjfnvgxcgd2w23ykxz5updbxbcssgom.ipfs.dweb.link/,1
1,1,1,0,0,1,1,0,0,0,0,4,1,0,0,22,0,0,2,0,0,19,0,1,0,630,0,22,0,71,0,1,1,0,0,1,11,0,0,0,0,35,0,https://portalfn.z13.web.core.windows.net/login.html,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,0,6,23,0,0,0,637,0,1,5,26,0,0,0,0,0,0,1,0,0,0,0,6,0,https://near-quasar-respect.glitch.me/direct-holding.shtml,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,0,6,23,0,0,0,637,0,1,5,26,0,0,0,0,0,0,1,0,0,0,0,6,0,https://hyper-shelled-tiger.glitch.me/tgs-romania.shtml,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,0,6,23,0,0,0,640,0,1,5,26,0,0,0,0,0,0,1,0,0,0,0,6,0,https://bafybeib23eozkxidvq7mvjsb25m6w27allwfxwrrfrnkaftstg5mj7rzqq.ipfs.dweb.link/,1
1,1,1,0,0,1,1,1,0,0,0,2,3,0,0,0,0,0,3,2,8,18,0,0,0,489,2,6,5,34,0,0,1,0,0,0,2,0,0,0,0,7,0,https://garrettfreireich.com/newmail/index.php,1
1,1,1,0,0,1,1,1,0,0,0,2,3,0,0,0,0,0,6,2,8,18,0,0,0,539,2,5,4,33,0,0,1,0,0,0,40,0,0,0,0,5,0,http://lyonsden.com.au/,1
1,1,0,0,1,1,1,1,1,0,0,6,0,0,0,0,0,0,1,3,2,16,0,1,0,120,0,0,1,2,0,0,1,0,1,0,3,0,0,0,0,0,0,https://bafybeigkuxt45uomes7hcvuvitujy2ng2vu27ossrbhc66tubz65detkgu.ipfs.dweb.link/all-domain.html,1
1,1,0,0,0,1,1,1,1,0,0,5,0,0,0,0,0,0,1,0,7,18,0,0,0,52,0,0,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,https://ipfs.io/ipfs/Qmci8bBHV9dFwpRN8sG28m9ZJ9fUMmJTHoheyXLBkJu4Zx,1
1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,7,20,0,0,0,210,0,0,0,12,0,0,1,0,0,1,5,0,0,0,0,1,0,https://safetybydesign-inc.myportfolio.com/,1
1,1,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,2,4,2,10,49,1,0,0,311,0,0,1,3,0,0,1,0,0,1,4,0,0,0,0,0,1,https://scholarlysanemail.besoso.repl.co/?,1
1,1,1,0,0,1,1,0,0,0,0,3,3,0,0,26,0,0,3,0,0,68,1,0,0,1097,2,30,16,81,0,1,1,0,0,1,4,1,0,0,0,25,0,https://bcc.54-157-160-6.cprapid.com/,1
1,1,1,0,0,1,1,1,1,0,0,6,1,0,0,0,0,0,3,4,11,13,0,1,0,268,0,0,1,11,0,0,1,0,0,0,2,0,0,0,0,7,0,https://ipfs.io/ipfs/QmYWgrvboBkzJWuqajnq3YiF5sU4NBATQ781qSrrrGxac5,1
1,1,1,0,0,1,1,1,1,0,0,6,1,0,0,0,0,0,3,4,11,13,0,1,0,265,0,0,1,11,0,0,1,0,0,0,2,0,0,0,0,7,0,https://ipfs.io/ipfs/bafybeiblavk4wedfaqrjvuqxadua2htqluytltn34qry7zeiwdyagxl7ie/,1
1,1,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0,1,1,6,24,0,1,0,518,0,0,1,16,0,0,1,0,1,0,0,0,0,0,0,7,0,https://ipfs.io/ipfs/bafybeibr2jkj35y52ix5c26x7lkuxmsiopgorfse2nc6qksjxr2t4wkai4/,1
1,1,0,0,1,1,1,0,1,0,0,9,0,0,0,0,0,1,1,0,6,15,0,0,0,606,0,1,6,22,0,0,1,0,0,0,3,0,0,0,0,3,1,https://ipfs.io/ipfs/QmcYERdsk2eWtnMB8f9PjzhHwY2X1LjQ2h45imWZkv4eKT/,1
1,1,0,0,1,1,1,1,1,0,0,8,0,0,0,0,0,1,4,1,8,7,0,1,0,251,0,0,5,26,0,0,1,0,0,0,3,0,0,0,0,3,1,https://ipfs.io/ipfs/QmaZkma9WPNZ3PuqZ6TXeKXpSc17hddWkux7XXigiiY5Jz,1
1,1,0,0,1,1,1,1,1,0,0,7,0,0,0,0,0,1,1,0,15,7,0,0,0,657,0,1,5,22,0,0,0,0,0,0,3,0,0,0,0,3,1,https://bafybeiac65u3mj6ygx62ixx7edt6tedp64xrb6plrw2nqmn3qwfpuha4sa.ipfs.fleek.cool/,1
1,1,0,0,1,1,1,0,1,0,0,8,0,0,0,71,0,0,14,13,5,22,1,0,1,7227,0,66,8,50,0,1,1,0,0,1,4,0,0,0,0,10,0,http://citizinsbank.ddnsking.com/,1
1,1,1,0,0,1,1,1,0,0,0,3,1,0,0,0,0,0,1,0,6,10,0,0,0,249,0,2,1,10,0,0,0,0,0,0,3,0,0,0,0,10,0,https://lifefreedomnow79.com/olopss/purchaseorder57477/,1
0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,4,3,3,5,10,5,0,1,1,1,741,0,2,9,17,0,0,0,0,0,0,3,0,0,0,0,8,1,https://ppjmavmbfh.duckdns.org/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://planet-ninth-ferryboat.glitch.me/NAAAAFFFFFCCCCCUUUUU.HTML?entity=4892463,1
1,1,1,0,0,1,1,0,1,0,0,18,5,0,0,0,0,0,2,22,33,56,1,1,1,2765,3,22,14,138,0,0,1,0,1,1,24,1,0,0,0,28,0,http://elegant-eminent-production.glitch.me/AUTHOONLINEVVERIFY.HTM,1
1,1,1,0,0,1,1,1,1,0,0,7,1,0,0,0,0,0,5,3,14,21,0,1,0,342,0,2,1,15,0,0,1,0,0,0,25,0,0,0,0,6,0,https://fleek.ipfs.io/ipfs/QmPHdVxyUKGsnTwjmAu28LhzjK4N9xGXy4e4c6fRCCxa4f/,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,3,8,17,0,0,0,506,2,5,3,41,0,1,1,0,0,0,2,0,0,0,0,11,0,https://pub-4fdbb77a22ae415dbd5e34989a2a8e5d.r2.dev/index.html,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,3,8,17,0,0,0,507,2,5,3,41,0,1,1,0,0,0,2,0,0,0,0,11,0,https://nostalgic-silk-rain.glitch.me/panats.shtml,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://logindex.static.app/indexx692.html,1
1,1,1,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,2,3,8,17,0,1,0,524,2,5,3,41,0,1,1,0,0,0,2,0,0,0,0,11,0,https://czapski.id.au/newme/testing.html,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://bafybeid724iydsbnw2zoft3svrxnhrqitawv2bptehavh7lc6dfzm4kb6e.ipfs.w3s.link/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://7brrew.com,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://08-04-0-g3895g-8fweif-iw8gbef-qhf-9q4gf.obs.ap-southeast-3.myhuaweicloud.com/v46h-0v-39rcmw3r9hnbg0vwe8f0-85gf0-whr8-fghwrf.html?AWSAccessKeyId=PYZ9DMIYF4RUQSBBSFSM&Expires=1680941973&Signature=s9uunSN3UE6L84Z/dpPCC5eV/Ho%3D,1
1,1,1,0,0,1,1,1,1,0,0,5,2,0,0,0,0,0,2,4,8,17,0,0,0,618,2,6,5,42,0,1,1,0,0,0,2,0,0,0,0,11,0,http://pensacolavegetariansociety.org/,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://l6mezf.staticfast.com/,1
1,1,1,0,0,1,1,1,1,0,0,7,1,0,0,0,0,0,2,3,9,6,0,1,0,250,0,2,1,9,0,0,1,0,0,0,2,0,0,0,0,5,0,https://bafybeigwdapyfhj64f2yqaxek44jph322es77pjeuq3i2kq7zpwaz7dtee.ipfs.dweb.link/?filename=QmckPHretLcpCqsXB8rqhqaFoMWQX16mTqSHfSpkm2JqJG,1
1,1,1,0,0,1,1,1,0,0,0,2,1,0,0,0,0,1,2,0,8,4,0,1,1,464,0,0,2,13,0,0,1,0,1,0,25,0,0,0,0,4,1,https://bafybeifxq7o5j77bpfgryi7x7j7vpl2t6f2hiz2lgz63g2omxxiekcjsl4.ipfs.dweb.link/,1
